Thick mm,Quality,AL 5052 ,"Bronze 
황동","Carbon Fiber 
카본화이버","Glass 
유리","Inconel 600 
인코넬","Invar 
인바","Mild Steel 
A36","Plexiglass 
플렉시글라스","Rubber 
고무","Steel 
AR400","Stainless Steel 
304","Stainless Steel 
316L","Ti 
티타늄","Tungsten carbide 
텅스텐 카바이드",
5,20%(Xfine),345.44,167.74,622.8,686.74,123.31,138.36,141.99,780.87,"3,030.97",122.06,132.44,134.52,172.3,107.95,
5,40%(Fine),690.88,335.48,"1,245.60","1,373.48",246.62,276.72,283.98,"1,561.74","6,061.94",244.12,264.88,269.04,344.6,215.9,2
5,60%(Mid),"1,036.32",503.22,"1,868.40","2,060.22",369.93,415.08,425.97,"2,342.61","9,092.91",366.18,397.32,403.56,516.9,323.85,1.5
5,80%(Rough),"1,381.79",670.98,"2,491.26","2,747.02",493.25,553.45,567.97,"3,123.55","12,124.16",488.25,529.77,538.09,689.22,431.81,1.33
5,100%(Xrough),"1,727.23",838.72,"3,114.06","3,433.76",616.56,691.81,709.96,"3,904.42","12,700.00",610.31,662.21,672.61,861.52,539.76,1.25
10,20%(Xfine),188.35,91.46,339.58,374.45,67.24,75.44,77.42,425.77,"1,652.64",66.55,72.21,73.35,93.95,58.86,0.55
10,40%(Fine),376.7,182.92,679.17,748.89,134.47,150.88,154.84,851.54,"3,305.29",133.11,144.43,146.69,187.89,117.72,2
10,60%(Mid),565.09,274.4,"1,018.81","1,123.40",201.72,226.34,232.27,"1,277.39","4,958.21",199.67,216.65,220.05,281.86,176.59,1.5
10,80%(Rough),753.44,365.86,"1,358.39","1,497.85",268.95,301.78,309.69,"1,703.16","6,610.86",266.23,288.87,293.4,375.8,235.45,1.33
10,100%(Xrough),941.79,457.32,"1,697.97","1,872.30",336.19,377.22,387.12,"2,128.93","8,263.50",332.78,361.08,366.75,469.75,294.31,1.25
20,20%(Xfine),86.11,41.81,155.25,171.19,30.74,34.49,35.4,194.66,755.57,30.43,33.01,33.53,42.95,26.91,0.46
20,40%(Fine),172.26,83.64,310.56,342.45,61.49,68.99,70.8,389.39,"1,511.41",60.87,66.04,67.08,85.92,53.83,2
20,60%(Mid),258.37,125.46,465.82,513.64,92.23,103.48,106.2,584.04,"2,266.98",91.29,99.06,100.61,128.87,80.74,1.5
20,80%(Rough),344.51,167.29,621.13,684.9,122.98,137.99,141.61,778.77,"3,022.83",121.73,132.08,134.16,171.84,107.66,1.33
20,100%(Xrough),430.66,209.12,776.44,856.15,153.73,172.49,177.02,973.5,"3,778.67",152.17,165.11,167.7,214.8,134.58,1.25
30,20%(Xfine),52.03,25.27,93.81,103.44,18.57,20.84,21.39,117.62,456.54,18.39,19.95,20.26,25.95,16.26,0.6
30,40%(Fine),104.1,50.55,187.68,206.94,37.16,41.69,42.79,235.31,913.36,36.78,39.91,40.54,51.92,32.53,2
30,60%(Mid),156.16,75.83,281.54,310.45,55.74,62.55,64.19,353,"1,370.18",55.18,59.87,60.81,77.89,48.8,1.5
30,80%(Rough),208.19,101.09,375.35,413.89,74.32,83.39,85.58,470.62,"1,826.72",73.56,79.82,81.07,103.84,65.06,1.33
30,100%(Xrough),260.26,126.38,469.22,517.39,92.9,104.24,106.98,588.31,"2,283.55",91.96,99.78,101.35,129.81,81.33,1.25
50,20%(Xfine),24.77,12.03,44.65,49.24,8.84,9.92,10.18,55.99,217.32,8.75,9.5,9.65,12.35,7.74,0.48
50,40%(Fine),49.57,24.07,89.37,98.54,17.69,19.85,20.37,112.05,434.92,17.51,19,19.3,24.72,15.49,2
50,60%(Mid),74.37,36.11,134.08,147.84,26.55,29.79,30.57,168.11,652.52,26.28,28.51,28.96,37.09,23.24,1.5
50,80%(Rough),99.17,48.15,178.79,197.15,35.4,39.72,40.76,224.17,870.12,35.04,38.02,38.62,49.46,30.99,1.33
50,100%(Xrough),123.94,60.18,223.45,246.39,44.24,49.64,50.94,280.16,"1,087.44",43.79,47.52,48.26,61.82,38.73,1.25
100,20%(Xfine),9.12,4.43,16.44,18.13,3.26,3.65,3.75,20.62,80.02,3.22,3.5,3.55,4.55,2.85,0.37
100,40%(Fine),18.27,8.87,32.94,36.33,6.52,7.32,7.51,41.3,160.32,6.46,7.01,7.12,9.11,5.71,2
100,60%(Mid),27.39,13.3,49.39,54.46,9.78,10.97,11.26,61.92,240.34,9.68,10.5,10.67,13.66,8.56,1.5
100,80%(Rough),36.54,17.75,65.89,72.65,13.04,14.64,15.02,82.61,320.65,12.91,14.01,14.23,18.23,11.42,1.33
100,100%(Xrough),45.66,22.17,82.33,90.78,16.3,18.29,18.77,103.22,400.67,16.14,17.51,17.78,22.78,14.27,1.25
