Thick,Quality,Ceramic,Marble,Quartz
4,20%(Xfine),"1,601.77",689.23,823.02
4,40%(Fine),3203.54,"1,378.46",1646.04
4,60%(Mid),4805.33,"2,067.70",2469.07
4,80%(Rough),6407.1,"2,756.93",3292.09
4,100%(Xrough),8088.9,"3,446.17",4155.12
8,20%(Xfine),978.64,421.10,502.84
8,40%(Fine),1954.97,841.21,1004.5
8,60%(Mid),2935.93,"1,263.31",1508.54
8,80%(Rough),3914.59,"1,684.42",2011.39
8,100%(Xrough),4893.25,"2,105.53",2514.25
10,20%(Xfine),769.76,331.22,395.51
10,40%(Fine),1539.51,662.44,791.03
10,60%(Mid),2309.27,993.66,1186.54
10,80%(Rough),3079.04,"1,324.89",1582.07
10,100%(Xrough),3848.8,"1,656.11",1977.59
12,20%(Xfine),630.5,271.30,323.96
12,40%(Fine),1261,542.60,647.93
12,60%(Mid),1891.5,813.90,971.89
12,80%(Rough),2522,"1,085.20",1295.85
12,100%(Xrough),3152.5,"1,356.50",1619.82
20,20%(Xfine),351.97,141.45,180.85
20,40%(Fine),703.96,302.91,361.71
20,60%(Mid),1055.96,454.37,542.57
20,80%(Rough),1407.93,605.82,723.42
20,100%(Xrough),1759.92,757.28,904.28
