Thick mm,Quality,"AL 5052 
알루미늄","Bronze 
황동","Carbon Fiber 
카본화이버","Glass 
유리","Inconel 600 
인코넬","Invar 
인바","Mild Steel 
A36","Plexiglass 
플렉시글라스","Rubber 
고무","Steel 
AR400","Stainless Steel 
304","Stainless Steel 
316L","Ti 
티타늄","Tungsten carbide 
텅스텐 카바이드",
5,20%(Xfine),735.57,357.17,"1,326.15","1,462.30",252.57,294.4,302.36,"1,662.11","6,453.94",259.92,828.02,286.44,366.9,229.8,
5,40%(Fine),"1,471.14",714.34,"2,652.30","2,924.60",505.14,588.8,604.72,"3,324.22","12,700.00",519.84,"1,656.04",572.88,733.8,459.6,2
5,60%(Mid),"2,206.71","1,071.51","3,978.45","4,386.90",757.71,883.2,907.08,"4,986.33","12,700.00",779.76,"2,484.06",859.32,"1,100.70",689.4,1.5
5,80%(Rough),"2,942.35","1,428.71","5,304.72","5,849.34","1,010.30","1,177.63","1,209.47","6,648.59","12,700.00","1,039.70","3,312.16","1,145.79","1,467.63",919.22,1.33
5,100%(Xrough),"3,677.92","1,785.88","6,630.87","7,311.64","1,262.87","1,472.03","1,511.83","8,310.70","12,700.00","1,299.62","4,140.18","1,432.23","1,834.53","1,149.02",1.25
10,20%(Xfine),401.07,194.75,723.09,797.32,137.71,160.52,164.86,906.27,"3,519.03",141.72,451.48,156.18,200.05,125.3,0.55
10,40%(Fine),802.14,389.5,"1,446.17","1,594.65",275.43,321.04,329.73,"1,812.54","7,038.05",283.44,902.96,312.36,400.11,250.6,2
10,60%(Mid),"1,203.28",584.28,"2,169.38","2,392.10",413.17,481.59,494.62,"2,718.96","10,557.68",425.19,"1,354.52",468.57,600.19,375.92,1.5
10,80%(Rough),"1,604.35",779.02,"2,892.47","3,189.43",550.88,642.12,659.48,"3,625.23","12,700.00",566.91,"1,806.00",624.75,800.25,501.22,1.33
10,100%(Xrough),"2,005.42",973.77,"3,615.56","3,986.75",688.6,802.64,824.34,"4,531.50","12,700.00",708.63,"2,257.48",780.94,"1,000.30",626.52,1.25
20,20%(Xfine),183.36,89.04,330.59,364.53,62.96,73.39,75.37,414.33,"1,608.85",64.79,206.41,71.4,91.46,57.29,0.46
20,40%(Fine),366.8,178.11,661.29,729.19,125.95,146.8,150.77,828.82,"3,218.30",129.61,412.9,142.84,182.96,114.59,2
20,60%(Mid),550.16,267.14,991.88,"1,093.71",188.91,220.19,226.15,"1,243.16","4,827.15",194.4,619.31,214.24,274.42,171.88,1.5
20,80%(Rough),733.59,356.21,"1,322.59","1,458.37",251.89,293.61,301.55,"1,657.64","6,436.60",259.22,825.8,285.67,365.91,229.18,1.33
20,100%(Xrough),917.03,445.28,"1,653.30","1,823.03",314.88,367.03,376.95,"2,072.13","8,046.05",324.04,"1,032.28",357.1,457.41,286.49,1.25
30,20%(Xfine),110.8,53.8,199.75,220.26,38.04,44.34,45.54,250.36,972.13,39.15,124.72,43.15,55.26,34.61,0.6
30,40%(Fine),221.66,107.63,399.63,440.65,76.11,88.72,91.11,500.87,"1,944.85",78.33,249.52,86.32,110.56,69.25,2
30,60%(Mid),332.52,161.46,599.5,661.05,114.18,133.09,136.69,751.38,"2,917.58",117.5,374.32,129.49,165.86,103.88,1.5
30,80%(Rough),443.32,215.26,799.25,881.31,152.22,177.43,182.23,"1,001.73","3,889.70",156.65,499.04,172.63,221.13,138.5,1.33
30,100%(Xrough),554.18,269.09,999.13,"1,101.70",190.29,221.8,227.8,"1,252.24","4,862.43",195.82,623.83,215.81,276.42,173.13,1.25
50,20%(Xfine),52.74,25.61,95.08,104.85,18.11,21.11,21.68,119.17,462.75,18.64,59.37,20.54,26.31,16.48,0.48
50,40%(Fine),105.55,51.25,190.29,209.83,36.24,42.24,43.39,238.5,926.09,37.3,118.81,41.1,52.65,32.97,2
50,60%(Mid),158.36,76.89,285.5,314.81,54.37,63.38,65.09,357.83,"1,389.44",55.96,178.26,61.67,78.99,49.47,1.5
50,80%(Rough),211.17,102.54,380.71,419.79,72.51,84.52,86.8,477.15,"1,852.78",74.62,237.71,82.23,105.33,65.97,1.33
50,100%(Xrough),263.91,128.14,475.79,524.64,90.62,105.62,108.48,596.33,"2,315.53",93.25,297.07,102.77,131.64,82.45,1.25
100,20%(Xfine),19.42,9.43,35.01,38.61,6.67,7.77,7.98,43.88,170.39,6.86,21.86,7.56,9.69,6.07,0.37
100,40%(Fine),38.91,18.89,70.15,77.35,13.36,15.57,15.99,87.92,341.38,13.75,43.8,15.15,19.41,12.16,2
100,60%(Mid),58.33,28.32,105.16,115.95,20.03,23.34,23.98,131.8,511.77,20.61,65.66,22.71,29.09,18.22,1.5
100,80%(Rough),77.82,37.78,140.29,154.7,26.72,31.14,31.99,175.83,682.76,27.5,87.6,30.3,38.81,24.31,1.33
100,100%(Xrough),97.24,47.21,175.3,193.3,33.39,38.92,39.97,219.72,853.15,34.36,109.46,37.86,48.5,30.38,1.25
