Thick,Quality,Ceramic,Marble,Quartz,
4,20%(Xfine),"3,410.70","1,467.60","1,752.50",
4,40%(Fine),"1,705.35",733.8,876.25,0.5
4,60%(Mid),"1,136.89",489.2,584.16,0.67
4,80%(Rough),852.67,366.9,438.12,0.75
4,100%(Xrough),682.14,293.52,350.5,0.8
8,20%(Xfine),"2,083.84",896.66,"1,070.73",0.61
8,40%(Fine),"1,043.15",448.86,535.99,0.5
8,60%(Mid),694.61,298.88,356.91,0.67
8,80%(Rough),520.95,224.16,267.68,0.75
8,100%(Xrough),416.76,179.33,214.14,0.8
10,20%(Xfine),"1,639.06",705.28,842.19,0.79
10,40%(Fine),819.53,352.64,421.1,0.5
10,60%(Mid),546.35,235.09,280.73,0.67
10,80%(Rough),409.76,176.32,210.55,0.75
10,100%(Xrough),327.81,141.05,168.44,0.8
12,20%(Xfine),"1,342.55",577.69,689.83,0.82
12,40%(Fine),671.27,288.84,344.92,0.5
12,60%(Mid),447.52,192.56,229.94,0.67
12,80%(Rough),335.64,144.42,172.46,0.75
12,100%(Xrough),268.51,115.54,137.97,0.8
20,20%(Xfine),749.46,322.49,385.09,0.56
20,40%(Fine),374.72,161.24,192.54,0.5
20,60%(Mid),249.81,107.49,128.36,0.67
20,80%(Rough),187.36,80.62,96.27,0.75
20,100%(Xrough),149.89,64.49,77.02,0.8
