Thick mm,Quality," AL 5052 
알루미늄 "," Bronze 
황동 "," Carbon Fiber 
카본화이버 "," Glass 
유리 "," Inconel 600 
인코넬 "," Invar 
인바 "," Mild Steel 
A36 "," Plexiglass 
플렉시글라스 "," Rubber 
고무 "," Steel 
AR400 "," Stainless Steel 
304 "," Stainless Steel 
316L "," Ti 
티타늄 "," Tungsten carbide 
텅스텐 카바이드 ",
5,20%(Xfine),469.36,241.02,894.81,986.77,177.18,198.66,204.03,"1,121.60","4,355.16",175.39,190.31,193.29,247.58,310.23,
5,40%(Fine),938.72,482.04,"1,789.62","1,973.54",354.36,397.32,408.06,"2,243.20","8,710.32",350.78,380.62,386.58,495.16,620.46,2
5,60%(Mid),"1,408.08",723.06,"2,684.43","2,960.31",531.54,595.98,612.09,"3,364.80","12,700.00",526.17,570.93,579.87,742.74,930.69,1.5
5,80%(Rough),"1,877.48",964.1,"3,579.32","3,947.17",708.74,794.66,816.14,"4,486.50","12,700.00",701.58,761.26,773.18,990.34,"1,240.95",1.33
5,100%(Xrough),"2,346.84","1,205.12","4,474.13","4,933.94",885.92,993.32,"1,020.17","5,608.10","12,700.00",876.97,951.57,966.47,"1,237.92","1,551.18",1.25
10,20%(Xfine),255.92,131.42,487.9,538.04,96.61,108.32,111.25,611.56,"2,374.66",95.63,103.77,105.39,134.99,169.15,0.55
10,40%(Fine),511.84,262.83,975.79,"1,076.08",193.22,216.64,222.5,"1,223.11","4,749.32",191.26,207.53,210.78,269.99,338.31,2
10,60%(Mid),767.8,394.27,"1,463.77","1,614.21",289.84,324.98,333.76,"1,834.77","7,124.39",286.91,311.32,316.19,405,507.49,1.5
10,80%(Rough),"1,023.72",525.69,"1,951.67","2,152.25",386.45,433.3,445.01,"2,446.32","9,499.05",382.54,415.09,421.59,540,676.64,1.33
10,100%(Xrough),"1,279.64",657.11,"2,439.57","2,690.29",483.06,541.62,556.26,"3,057.88","11,873.71",478.18,518.85,526.98,674.99,845.8,1.25
20,20%(Xfine),117,60.08,223.06,245.98,44.17,49.52,50.86,279.59,"1,085.66",43.72,47.44,48.18,61.72,77.33,0.46
20,40%(Fine),234.05,120.19,446.2,492.06,88.35,99.06,101.74,559.29,"2,171.73",87.46,94.9,96.39,123.46,154.7,2
20,60%(Mid),351.05,180.27,669.26,738.04,132.52,148.59,152.6,838.89,"3,257.39",131.18,142.34,144.57,185.17,232.03,1.5
20,80%(Rough),468.1,240.37,892.41,984.12,176.7,198.13,203.48,"1,118.59","4,343.46",174.92,189.8,192.77,246.91,309.4,1.33
20,100%(Xrough),585.15,300.48,"1,115.55","1,230.19",220.89,247.67,254.36,"1,398.29","5,429.53",218.66,237.26,240.97,308.66,386.76,1.25
30,20%(Xfine),70.7,36.3,134.78,148.63,26.69,29.92,30.73,168.94,656,26.42,28.67,29.11,37.29,46.73,0.6
30,40%(Fine),141.44,72.63,269.64,297.36,53.39,59.86,61.48,337.99,"1,312.40",52.85,57.35,58.25,74.61,93.49,2
30,60%(Mid),212.18,108.96,404.51,446.08,80.1,89.81,92.23,507.03,"1,968.80",79.29,86.03,87.38,111.92,140.24,1.5
30,80%(Rough),282.88,145.26,539.29,594.71,106.78,119.73,122.97,675.97,"2,624.80",105.71,114.7,116.49,149.21,186.97,1.33
30,100%(Xrough),353.62,181.59,674.15,743.44,133.49,149.67,153.72,845.02,"3,281.20",132.14,143.38,145.63,186.53,233.73,1.25
50,20%(Xfine),33.65,17.28,64.16,70.75,12.7,14.24,14.63,80.42,312.26,12.58,13.65,13.86,17.75,22.24,0.48
50,40%(Fine),67.35,34.58,128.4,141.59,25.42,28.51,29.28,160.94,624.93,25.17,27.31,27.74,35.53,44.52,2
50,60%(Mid),101.05,51.89,192.64,212.44,38.14,42.77,43.92,241.46,937.6,37.76,40.97,41.61,53.3,66.79,1.5
50,80%(Rough),134.74,69.19,256.88,283.28,50.86,57.03,58.57,321.99,"1,250.27",50.35,54.63,55.49,71.07,89.06,1.33
50,100%(Xrough),168.4,86.47,321.04,354.03,63.57,71.27,73.2,402.4,"1,562.53",62.93,68.28,69.35,88.83,111.3,1.25
100,20%(Xfine),12.39,6.36,23.62,26.05,4.68,5.24,5.39,29.61,114.98,4.63,5.02,5.1,6.54,8.19,0.37
100,40%(Fine),24.83,12.75,47.33,52.2,9.37,10.51,10.79,59.33,230.37,9.28,10.07,10.22,13.1,16.41,2
100,60%(Mid),37.22,19.11,70.95,78.25,14.05,15.75,16.18,88.94,345.35,13.91,15.09,15.33,19.63,24.6,1.5
100,80%(Rough),49.65,25.5,94.66,104.39,18.74,21.02,21.58,118.65,460.73,18.55,20.13,20.45,26.19,32.82,1.33
100,100%(Xrough),62.05,31.86,118.29,130.44,23.42,26.26,26.97,148.27,575.71,23.18,25.16,25.55,32.73,41.01,1.25
